,,Case P,,,,,,,,
,,Model,Ontology Knowledge,,,CN Knowledge,,,,
,,,TP,Total (TP & FP),Precision,TP,Total (TP & FP),Precision,,
,,Yolo L scr,7,11,64.64,43,64,67.19,,
,,Yolo L pre,9,10,90,56,79,70.89,,
,,Yolo L noisy20,7,12,58.33,32,47,68.09,,
,,,,,,,,,,
,,Case O,,,,,,,,
,,Model,Ontology Knowledge,,,CN Knowledge,,,,
,,,TP,Total (TP & FP),Precision,TP,Total (TP & FP),Precision,,
,,Yolo L scr,3,5,60,3,8,37.5,,
,,Yolo L pre,2,2,100,5,6,83.33,,
,,Yolo L noisy20,2,2,100,2,2,100,,
,,,,,,,,,,
,,Case PO,,,,,,,,
,,Model,Ontology Knowledge,,,CN Knowledge,,,,
,,,TP,Total (TP & FP),Precision,TP,Total (TP & FP),Precision,,
,,Yolo L scr,7,7,100,7,7,100,,
,,Yolo L pre,1,1,100,9,9,100,,
,,Yolo L noisy20,6,6,100,8,11,72.73,,
,,,,,,,,,,
,,Case MO,,,,,,,,
,,Model,Method 1 (Naive),,,,,,Method 2 (M1+num of missing objs),
,,,Ontology Knowledge,,,CN Knowledge,,,Ontology Knowledge,CN Knowledge
,,,TP,Total (TP & FP),Precision,TP,Total (TP & FP),Precision,Precision,Precision
,,Yolo L scr,331,363,91.18,392,487,80.49,50.14,31.62
,,Yolo L pre,208,247,84.21,293,451,64.97,48.99,28.38
,,Yolo L noisy20,560,577,97.05,562,603,93.2,53.03,32.17
,,,,,,,,,,
,,Case MO,,,,,,,,
,,Model,Method 3 (M1+match poss classes),,,,Method 4 (M1+M2+M3),,,
,,,Ontology Knowledge,,CN Knowledge,,Ontology Knowledge,CN Knowledge,,
,,,Precision,Score,Precision,Score,Precision,Precision,,
,,Yolo L scr,64.71,35.05,44.34,25.75,42.7,17.86,,
,,Yolo L pre,58.8,32.57,44.6,25.39,40.49,19.73,,
,,Yolo L noisy20,66.61,35.11,44.51,25.78,46.62,12.11,,
,,,,,,,,,,
,,Case MO-Recall for Method 1,,,,,,,,
,,Model,Ontology Knowledge,,,CN Knowledge,,,,
,,,TP,Total (TP & FN),Recall,TP,Total (TP & FN),Recall,,
,,Yolo L scr,331,636,52.04,392,636,61.64,,
,,Yolo L pre,208,486,42.8,293,486,60.29,,
,,Yolo L noisy20,560,865,64.74,562,865,64.97,,
,,,,,,,,,,
,,OVERALL,,,,,,,,
,,Model,Ontology Knowledge,,,CN Knowledge,,,,
,,,M2,M3,M4,M2,M3,M4,,
,,Yolo L scr,50.14,64.71,42.7,31.62,44.34,17.86,,
,,Yolo L pre,48.99,58.8,40.49,28.38,44.6,19.73,,
,,Yolo L noisy20,53.03,66.61,46.62,32.17,44.51,12.11,,